개인정보 매입 알선 게시물,디지털치안데이터,2021-12-10 19:13:30 최초등록 , 2021-12-10 19:13:30 업데이트됨,                            CSV,0,43,0,           매월,https://www.bigdata-policing.kr//product/view?product_id=PRDT_260
불법 소프트웨어 판매 알선 게시물,디지털치안데이터,2021-12-10 19:14:16 최초등록 , 2021-12-10 19:14:16 업데이트됨,                            CSV,0,43,0,           매월,https://www.bigdata-policing.kr//product/view?product_id=PRDT_261
마약유통 알선 게시물,디지털치안데이터,2021-12-10 19:15:29 최초등록 , 2021-12-10 19:15:29 업데이트됨,                            CSV,0,43,0,           매월,https://www.bigdata-policing.kr//product/view?product_id=PRDT_263
온라인 불법유통 및 알선 게시물,디지털치안데이터,2021-12-10 19:16:05 최초등록 , 2021-12-10 19:16:05 업데이트됨,                            CSV,0,43,0,           매월,https://www.bigdata-policing.kr//product/view?product_id=PRDT_264
독극물 구매 알선 게시물,디지털치안데이터,2021-12-10 19:16:44 최초등록 , 2021-12-10 19:16:44 업데이트됨,                            CSV,0,43,0,           매월,https://www.bigdata-policing.kr//product/view?product_id=PRDT_265
성매매 업체 홍보 게시물,디지털치안데이터,2021-12-10 19:17:20 최초등록 , 2021-12-10 19:17:20 업데이트됨,                            CSV,0,43,0,           매월,https://www.bigdata-policing.kr//product/view?product_id=PRDT_266
미성년자 성매매 유도 게시물,디지털치안데이터,2021-12-10 19:17:49 최초등록 , 2021-12-10 19:17:49 업데이트됨,                            CSV,0,43,0,           매월,https://www.bigdata-policing.kr//product/view?product_id=PRDT_267
온라인 도박 사이트 유도 게시물,디지털치안데이터,2021-12-10 19:18:17 최초등록 , 2021-12-10 19:18:17 업데이트됨,                            CSV,0,43,0,           매월,https://www.bigdata-policing.kr//product/view?product_id=PRDT_268
불법금융 상품 홍보 게시물,디지털치안데이터,2021-12-10 19:18:52 최초등록 , 2021-12-10 19:18:52 업데이트됨,                            CSV,0,43,0,           매월,https://www.bigdata-policing.kr//product/view?product_id=PRDT_269
불법 환전 모집 게시물,디지털치안데이터,2021-12-10 19:19:25 최초등록 , 2021-12-10 19:19:25 업데이트됨,                            CSV,0,43,0,           매월,https://www.bigdata-policing.kr//product/view?product_id=PRDT_270
명예훼손 게시물,디지털치안데이터,2021-12-10 19:19:54 최초등록 , 2021-12-10 19:19:54 업데이트됨,                            CSV,0,43,0,           매월,https://www.bigdata-policing.kr//product/view?product_id=PRDT_271
소셜미디어 내 한국어 게시글,디지털치안데이터,2021-11-30 17:41:27 최초등록 , 2021-12-29 14:56:36 업데이트됨,                            CSV,"70,000",43,0,           매월,https://www.bigdata-policing.kr//product/view?product_id=PRDT_210
소셜미디어 내 한국어 성범죄 관련 게시글,디지털치안데이터,2021-11-30 17:42:09 최초등록 , 2021-12-29 14:56:00 업데이트됨,                            CSV,"70,000",43,0,           매월,https://www.bigdata-policing.kr//product/view?product_id=PRDT_211
피싱에 사용된 계좌번호 데이터,디지털치안데이터,2021-12-02 10:56:10 최초등록 , 2021-12-14 14:45:33 업데이트됨,                            CSV,                            무료 ,43,0,,https://www.bigdata-policing.kr//product/view?product_id=PRDT_229
공동주택 생활,지역환경공공데이터,2021-12-10 18:47:48 최초등록 , 2021-12-17 19:25:51 업데이트됨,                            CSV,"30,000,000",43,0,           매월,https://www.bigdata-policing.kr//product/view?product_id=PRDT_240
공동주택 생활 지수,지역환경공공데이터,2021-12-10 18:54:51 최초등록 , 2021-12-17 19:25:24 업데이트됨,                            CSV,                            무료 ,43,31,           매월,https://www.bigdata-policing.kr//product/view?product_id=PRDT_246
공동주택 에너지 지수,지역환경공공데이터,2021-12-10 18:55:33 최초등록 , 2021-12-17 19:25:08 업데이트됨,                            CSV,                            무료 ,43,6,           매분기,https://www.bigdata-policing.kr//product/view?product_id=PRDT_247
공동주택 출입 지수,지역환경공공데이터,2021-12-10 18:57:34 최초등록 , 2021-12-17 19:24:53 업데이트됨,                            CSV,                            무료 ,43,9,           매분기,https://www.bigdata-policing.kr//product/view?product_id=PRDT_248
공동주택 보안 지수,지역환경공공데이터,2021-12-10 18:59:20 최초등록 , 2021-12-17 19:30:40 업데이트됨,                            CSV,                            무료 ,43,41,           매분기,https://www.bigdata-policing.kr//product/view?product_id=PRDT_250
